id;question;diagram;diagram_content_type;option_1;option_2;option_3;option_4;multi_choice;answer;max_marks;negative_marks;duration_mins;level;solution;video;status
1;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;firmware;seamless mesh;disintermediate Jordan Savings Account;deploy Advanced;false;Savings Account Pakistan Rupee;61949;75934;46349;BEGINNERS;indexing Lead;leading-edge enable synthesize;REWRITE
2;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;generate 1080p;capacitor Andorra overriding;Outdoors deposit;Functionality invoice streamline;false;Inlet yellow Shoes;61735;25677;52308;ADVANCE;haptic Moldova archive;monitor morph;APPROVED
3;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;CSS haptic Fish;Licensed;white Principal;Avon neural;true;Sleek Rubber Computer Solutions;60161;63798;81918;ADVANCE;payment;action-items;REWRITE
4;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;virtual;transmitter;bandwidth Trinidad and Tobago Dollar Licensed;Table interfaces;false;Re-engineered;86925;86279;47289;BEGINNERS;Home;Phased sky blue;REWRITE
5;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;Sleek Wooden Chips bi-directional;Russian Ruble deploy;Roads feed;Director;false;Generic array Virginia;27416;77262;7941;MODERATE;Savings Account monetize one-to-one;extensible Practical Granite Bacon;CREATED
6;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;Profit-focused;system-worthy Credit Card Account;Denmark hub collaboration;Tasty Cotton Tuna efficient Producer;false;proactive New Hampshire;8876;95762;96166;MODERATE;mint green Indonesia Practical;synthesizing Garden;REWRITE
7;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;Via enhance Cotton;Chair Producer Accounts;Switchable Kyat;Money Market Account;false;program Rubber connecting;78202;15930;70874;ADVANCE;Expanded;dynamic Incredible;REWRITE
8;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;Village;XML Sausages;Borders Planner navigating;Cambridgeshire;false;Solomon Islands;62795;38062;67430;ADVANCE;secured line;Graphic Interface;REWRITE
9;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;Future-proofed Metrics North Carolina;generating Granite FTP;Investment Account Rubber Legacy;Gloves Cambridgeshire revolutionize;false;leading-edge Sleek Steel Hat;13516;23255;96311;MODERATE;Cotton Money Market Account Optimization;solutions Refined deposit;APPROVED
10;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;withdrawal Shirt;South Carolina;Ferry;Cambridgeshire;true;Credit Card Account;29735;98367;43033;BEGINNERS;Soft;attitude-oriented;REWRITE
