id;salary;month;paid;unpaid;date;transaction_id;payment_mode;remarks
1;92775;JAN;39624;51524;2020-09-12;Zimbabwe Dollar Salad;OTHERS;Personal Loan Account
2;58008;OCT;12951;47667;2020-09-12;Configuration;OTHERS;Gorgeous ROI implement
3;25975;MAY;22018;10946;2020-09-13;Tasty backing up Cambridgeshire;NEFT;open-source Ouguiya
4;56573;SEP;65845;24528;2020-09-12;GB;CASH;Credit Card Account
5;75271;DEC;88087;96131;2020-09-12;Outdoors backing up;CASH;reboot
6;16075;MAR;83213;75663;2020-09-13;Electronics;OTHERS;Designer
7;63181;NOV;63400;907;2020-09-13;back-end Gorgeous back up;NETBANKING;deposit Mobility
8;10250;APR;70817;77098;2020-09-13;Mississippi proactive Checking Account;CASH;Technician Architect calculate
9;13008;DEC;2212;82151;2020-09-13;Buckinghamshire compress;UPI;partnerships Terrace Hat
10;79480;MAY;68049;23005;2020-09-13;systemic;NETBANKING;applications invoice unleash
